match_id,match_number,date,team,opponent,is_home,goals_for,goals_against,result,points,xg,pass_completion_pct,completed_line_breaks,defensive_line_breaks,final_third_receptions,crosses,ball_progressions,forced_turnovers,second_balls,distance_km,zone4_sprint_km,attempts,attempts_on_target,total_passes,completed_passes,defensive_pressures,direct_pressures,possession_pct,possession_contest_pct,xg_against,attempts_against,attempts_on_target_against,source_url,pdf_file
2026_M025,25,2026-06-18 00:00:00,South Africa,Czechia,False,1,1,D,1,1.34,89,114,8,126,16,20,44,66,112.0,5.9,17,4,584,518,233,41,60.3,7.4,1.36,14,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M025_PMSR-M25-CZE-V-RSA.pdf
2026_M026,26,2026-06-18 00:00:00,Bosnia and Herzegovina,Switzerland,False,1,4,L,0,0.3,81,69,6,61,14,24,42,62,113.1,5.6,5,3,359,289,339,48,34.1,8.1,1.85,13,7,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M026_PMSR-M26-SUI-V-BIH.pdf
2026_M026,26,2026-06-18 00:00:00,Switzerland,Bosnia and Herzegovina,True,4,1,W,3,1.85,88,115,18,166,24,24,46,70,114.9,5.8,13,7,601,531,234,40,57.8,8.1,0.3,5,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M026_PMSR-M26-SUI-V-BIH.pdf
2026_M027,27,2026-06-18 00:00:00,Canada,Qatar,True,6,0,W,3,3.9,93,131,23,416,61,16,31,89,111.2,5.7,33,11,575,535,107,27,65.8,13.7,0.2,2,0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M027_PMSR-M27-CAN-V-QAT.pdf
2026_M027,27,2026-06-18 00:00:00,Qatar,Canada,False,0,6,L,0,0.2,64,23,3,11,2,7,23,34,90.8,3.7,2,0,166,107,274,43,20.5,13.7,3.9,33,11,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M027_PMSR-M27-CAN-V-QAT.pdf
2026_M028,28,2026-06-18 00:00:00,Korea Republic,Mexico,False,0,1,L,0,0.87,86,75,9,84,8,16,48,62,112.1,5.3,9,2,593,510,217,37,51.8,7.3,0.34,8,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M028_PMSR-M28-MEX-V-KOR.pdf
2026_M028,28,2026-06-18 00:00:00,Mexico,Korea Republic,True,1,0,W,3,0.34,83,76,4,56,5,18,46,69,116.5,5.3,8,4,432,360,265,39,40.8,7.3,0.87,9,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M028_PMSR-M28-MEX-V-KOR.pdf
2026_M029,29,2026-06-19 00:00:00,Brazil,Haiti,True,3,0,W,3,1.42,88,105,13,84,11,21,39,50,113.6,5.9,7,4,551,484,195,32,49.0,7.8,0.26,7,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M029_PMSR-M29-BRA-V-HAI.pdf
2026_M029,29,2026-06-19 00:00:00,Haiti,Brazil,False,0,3,L,0,0.26,84,84,10,88,13,29,34,63,112.8,6.1,7,3,402,338,294,58,43.2,7.8,1.42,7,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M029_PMSR-M29-BRA-V-HAI.pdf
2026_M030,30,2026-06-19 00:00:00,Morocco,Scotland,False,1,0,W,3,0.8,91,83,8,99,13,32,40,61,115.4,6.4,12,2,676,612,260,56,54.8,6.1,0.74,6,0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M030_PMSR-M30-SCO-V-MAR.pdf
