team,rating,matches,recent_matches,recent_points_per_match,recent_goals_for,recent_goals_against,recent_result_weight,weighted_recent_points_per_match,weighted_recent_goals_for,weighted_recent_goals_against,weighted_recent_goal_diff,report_matches,xg_for_2026,xg_against_2026,attempts_for_2026,attempts_against_2026,on_target_for_2026,on_target_against_2026,possession_pct_2026,statsbomb_matches,statsbomb_xg_for,statsbomb_xg_against,statsbomb_shots_for,statsbomb_shots_against,statsbomb_on_target_for,xg_for_2026_shrunk,xg_against_2026_shrunk,statsbomb_xg_for_shrunk,statsbomb_xg_against_shrunk
Chagos Islands,1390.6374311056422,16,12,0.3333333333333333,1.3333333333333333,5.75,0.03842472247633229,0.11930045001403816,1.287857192969157,6.241579990493341,-4.953722797524184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Helena,1386.5574544937494,8,8,0.0,0.75,5.125,0.5285332270194402,0.0,0.5299715023571702,4.347683487212705,-3.817711984855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Hong Kong,1382.4848529869362,447,12,1.5833333333333333,1.75,0.9166666666666666,14.090460412452094,1.471913089803208,1.658633848000181,1.1388949634631793,0.5197388845370017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Guinea-Bissau,1377.671582297069,190,12,0.5,0.6666666666666666,1.6666666666666667,10.543161552657681,0.7322858376685162,0.7063810367599563,1.549875384200635,-0.843494347440679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Bermuda,1375.9597657137097,198,12,0.8333333333333334,1.4166666666666667,2.75,11.324729064814209,1.0870527463305146,1.5354867862457078,2.492984655081356,-0.9574978688356482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Azerbaijan,1374.8890837577849,310,12,0.75,1.0833333333333333,1.9166666666666667,14.093209666472589,0.8522783139625795,1.0508096213750135,1.9438716101022016,-0.893061988727188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saare County,1373.3932191757606,35,12,1.0,1.75,2.25,0.009602954211649256,1.1500385783819986,2.0422783619633975,2.054622973514529,-0.012344611551132107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Central African Republic,1368.0700598505762,138,12,0.6666666666666666,0.5833333333333334,2.1666666666666665,9.575712910434754,0.8826236929491824,1.001478012357614,2.068695530427143,-1.067217518069529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Pierre and Miquelon,1362.959528613553,7,7,0.0,0.2857142857142857,11.142857142857142,0.00033293050570198886,0.0,0.42277833842774426,12.004512234856081,-11.581733896428336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Sint Maarten,1361.2686204872011,60,12,1.6666666666666667,1.25,2.0833333333333335,6.328392990135035,1.6388799162569736,1.4412283244128699,1.95936989422532,-0.5181415698124502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
