source,match_id,date,competition,season,team,opponent,is_home,statsbomb_shots,statsbomb_xg,statsbomb_goals,statsbomb_on_target,statsbomb_xg_against,statsbomb_shots_against
StatsBomb Open Data,3930184,2024-06-26,UEFA Euro,2024,Türkiye,Czechia,False,18,1.2175436875,2,5,1.4103225654,12
StatsBomb Open Data,3930183,2024-06-26,UEFA Euro,2024,Slovakia,Romania,True,13,0.8447428410000001,1,4,1.121938083,9
StatsBomb Open Data,3930183,2024-06-26,UEFA Euro,2024,Romania,Slovakia,False,9,1.121938083,1,5,0.8447428410000001,13
StatsBomb Open Data,3939978,2024-06-25,Copa America,2024,Peru,Canada,True,9,0.5764393578,0,4,0.909048214,5
StatsBomb Open Data,3939978,2024-06-25,Copa America,2024,Canada,Peru,False,5,0.909048214,1,2,0.5764393578,9
StatsBomb Open Data,3939976,2024-06-25,Copa America,2024,Brazil,Costa Rica,True,20,1.621192136,0,3,0.036730567,2
StatsBomb Open Data,3939976,2024-06-25,Copa America,2024,Costa Rica,Brazil,False,2,0.036730567,0,0,1.621192136,20
StatsBomb Open Data,3930181,2024-06-25,UEFA Euro,2024,England,Slovenia,True,12,0.756222001,0,3,0.164917273,4
StatsBomb Open Data,3930181,2024-06-25,UEFA Euro,2024,Slovenia,England,False,4,0.164917273,0,1,0.756222001,12
StatsBomb Open Data,3938643,2024-06-25,UEFA Euro,2024,France,Poland,True,19,1.8914679426,1,8,1.17909407,10
StatsBomb Open Data,3938643,2024-06-25,UEFA Euro,2024,Poland,France,False,10,1.17909407,1,3,1.8914679426,19
StatsBomb Open Data,3930180,2024-06-25,UEFA Euro,2024,Netherlands,Austria,True,11,1.510208619,2,2,1.057898715,9
StatsBomb Open Data,3930180,2024-06-25,UEFA Euro,2024,Austria,Netherlands,False,9,1.057898715,2,5,1.510208619,11
StatsBomb Open Data,3930182,2024-06-25,UEFA Euro,2024,Denmark,Serbia,True,10,0.5515324240000001,0,3,0.324442442,5
StatsBomb Open Data,3930182,2024-06-25,UEFA Euro,2024,Serbia,Denmark,False,5,0.324442442,0,1,0.5515324240000001,10
StatsBomb Open Data,3939975,2024-06-24,Copa America,2024,Colombia,Paraguay,True,11,0.621920841,2,3,0.8275965940000001,11
StatsBomb Open Data,3939975,2024-06-24,Copa America,2024,Paraguay,Colombia,False,11,0.8275965940000001,1,3,0.621920841,11
StatsBomb Open Data,3939973,2024-06-24,Copa America,2024,Uruguay,Panama,True,20,1.3614407430000002,3,7,0.540888124,10
StatsBomb Open Data,3939973,2024-06-24,Copa America,2024,Panama,Uruguay,False,10,0.540888124,1,3,1.3614407430000002,20
StatsBomb Open Data,3930178,2024-06-24,UEFA Euro,2024,Croatia,Italy,True,6,1.483235055,1,4,0.985394353,13
StatsBomb Open Data,3930178,2024-06-24,UEFA Euro,2024,Italy,Croatia,False,13,0.985394353,1,3,1.483235055,6
StatsBomb Open Data,3930179,2024-06-24,UEFA Euro,2024,Albania,Spain,True,10,0.5031542800000001,0,4,0.951712625,16
StatsBomb Open Data,3930179,2024-06-24,UEFA Euro,2024,Spain,Albania,False,16,0.951712625,1,3,0.5031542800000001,10
StatsBomb Open Data,3939974,2024-06-23,Copa America,2024,USA,Bolivia,True,20,2.4046838079999997,2,8,0.1496907824,6
StatsBomb Open Data,3939974,2024-06-23,Copa America,2024,Bolivia,USA,False,6,0.1496907824,0,3,2.4046838079999997,20
StatsBomb Open Data,3939971,2024-06-23,Copa America,2024,Mexico,Jamaica,True,20,1.1360803270000002,1,9,0.5061592739999999,13
StatsBomb Open Data,3939971,2024-06-23,Copa America,2024,Jamaica,Mexico,False,13,0.5061592739999999,0,4,1.1360803270000002,20
StatsBomb Open Data,3930176,2024-06-23,UEFA Euro,2024,Switzerland,Germany,True,4,0.2800855989999999,1,3,1.5416782249999998,18
StatsBomb Open Data,3930176,2024-06-23,UEFA Euro,2024,Germany,Switzerland,False,18,1.5416782249999998,1,3,0.2800855989999999,4
StatsBomb Open Data,3930177,2024-06-23,UEFA Euro,2024,Scotland,Hungary,True,4,0.183535254,0,0,1.001013093,14
StatsBomb Open Data,3930177,2024-06-23,UEFA Euro,2024,Hungary,Scotland,False,14,1.001013093,1,5,0.183535254,4
StatsBomb Open Data,3939970,2024-06-22,Copa America,2024,Peru,Chile,True,7,0.6772752089999999,0,4,1.024763887,11
StatsBomb Open Data,3939970,2024-06-22,Copa America,2024,Chile,Peru,False,11,1.024763887,0,1,0.6772752089999999,7
StatsBomb Open Data,3939972,2024-06-22,Copa America,2024,Ecuador,Venezuela,True,9,0.7355915667000001,1,4,1.5850185390000002,14
StatsBomb Open Data,3939972,2024-06-22,Copa America,2024,Venezuela,Ecuador,False,14,1.5850185390000002,2,5,0.7355915667000001,9
