match_id,match_number,group,date,kickoff,venue,home_team,away_team,home_score,away_score,tournament,source_url,pdf_file,home_xg,away_xg,home_pass_completion_pct,away_pass_completion_pct,home_completed_line_breaks,away_completed_line_breaks,home_defensive_line_breaks,away_defensive_line_breaks,home_final_third_receptions,away_final_third_receptions,home_crosses,away_crosses,home_ball_progressions,away_ball_progressions,home_forced_turnovers,away_forced_turnovers,home_second_balls,away_second_balls,home_distance_km,away_distance_km,home_zone4_sprint_km,away_zone4_sprint_km,home_attempts,away_attempts,home_attempts_on_target,away_attempts_on_target,home_total_passes,away_total_passes,home_completed_passes,away_completed_passes,home_defensive_pressures,away_defensive_pressures,home_direct_pressures,away_direct_pressures,home_possession_pct,away_possession_pct,possession_contest_pct
2026_M016,16,Group G,2026-06-15,12:00,Seattle Stadium,Belgium,Egypt,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M16-BEL-V-EGY.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M016_PMSR-M16-BEL-V-EGY.pdf,1.07,0.73,87,82,106,78,14,11,181,96,15,17,36,22,41,52,70,66,113.3,111.3,6.3,6.2,15,14,4,3,476,411,415,339,227,258,44,68,45.5,38.1,16.4
2026_M017,17,Group I,2026-06-16,15:00,New York/New Jersey Stadium,France,Senegal,3,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M017_PMSR-M17-FRA-V-SEN.pdf,1.62,0.39,88,87,118,101,11,11,99,78,9,11,37,28,54,39,67,64,120.2,116.7,7.0,6.2,11,6,8,2,584,521,516,453,277,308,49,44,49.4,44.5,6.2
2026_M018,18,Group I,2026-06-16,18:00,Boston Stadium,Iraq,Norway,1,4,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M18-IRQ-V-NOR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M018_PMSR-M18-IRQ-V-NOR.pdf,1.2,2.41,82,90,70,116,11,16,72,101,9,17,24,34,42,31,52,52,111.7,116.3,5.6,5.3,11,11,1,5,347,548,286,493,288,173,64,34,34.7,57.2,8.1
2026_M019,19,Group J,2026-06-16,20:00,Kansas City Stadium,Argentina,Algeria,3,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M019_PMSR-M19-ARG-V-ALG.pdf,1.58,0.41,89,91,102,115,8,7,68,160,5,8,18,40,46,40,50,59,108.4,109.3,4.4,5.2,10,7,6,1,578,634,517,578,288,332,57,37,44.6,50.8,4.6
2026_M020,20,Group J,2026-06-16,21:00,San Francisco Bay Area Stadium,Austria,Jordan,3,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M20-AUT-V-JOR-V3.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M020_PMSR-M20-AUT-V-JOR-V3.pdf,1.93,0.53,85,74,112,63,14,4,132,91,17,15,35,23,54,55,83,85,120.4,119.2,6.7,6.7,10,11,4,4,587,344,499,254,206,322,44,42,53.3,33.0,13.6
2026_M021,21,Group L,2026-06-17,19:00,Toronto Stadium,Ghana,Panama,1,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M21-GHA-V-PAN-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M021_PMSR-M21-GHA-V-PAN-V2.pdf,0.98,0.77,84,88,70,105,12,8,66,114,17,21,36,22,49,48,70,75,119.0,117.3,6.2,5.7,7,11,2,4,362,597,304,526,294,201,60,62,35.6,55.5,8.9
2026_M022,22,Group L,2026-06-17,15:00,Dallas Stadium,England,Croatia,4,2,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M022_PMSR-M22-ENG-V-CRO.pdf,3.33,0.82,87,87,82,85,11,8,78,89,15,12,23,20,36,35,63,48,117.0,113.7,6.6,6.4,22,10,11,5,482,459,421,399,262,295,38,50,49.0,43.5,7.5
2026_M023,23,Group K,2026-06-17,12:00,Houston Stadium,Portugal,Congo DR,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M23-POR-V-COD.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M023_PMSR-M23-POR-V-COD.pdf,0.57,0.54,92,80,146,60,18,4,222,62,23,10,27,24,29,42,70,46,109.8,112.4,5.7,6.0,7,8,1,2,804,268,740,214,183,407,24,41,68.9,25.3,5.8
2026_M024,24,Group K,2026-06-17,20:00,Mexico City Stadium,Uzbekistan,Colombia,1,3,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M24-UZB-V-COL-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M024_PMSR-M24-UZB-V-COL-V2.pdf,1.11,1.16,80,88,70,72,6,3,64,110,11,18,20,23,32,31,40,60,112.0,108.7,4.5,4.7,8,15,2,4,334,534,267,469,264,160,36,32,33.9,56.7,9.4
2026_M025,25,Group A,2026-06-18,12:00,Atlanta Stadium,Czechia,South Africa,1,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M025_PMSR-M25-CZE-V-RSA.pdf,1.36,1.34,79,89,87,114,6,8,73,126,15,16,22,20,41,44,64,66,119.6,112.0,6.6,5.9,14,17,3,4,352,584,279,518,343,233,40,41,32.4,60.3,7.4
2026_M026,26,Group B,2026-06-18,12:00,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M026_PMSR-M26-SUI-V-BIH.pdf,1.85,0.3,88,81,115,69,18,6,166,61,24,14,24,24,46,42,70,62,114.9,113.1,5.8,5.6,13,5,7,3,601,359,531,289,234,339,40,48,57.8,34.1,8.1
2026_M027,27,Group B,2026-06-18,15:00,BC Place Vancouver,Canada,Qatar,6,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M027_PMSR-M27-CAN-V-QAT.pdf,3.9,0.2,93,64,131,23,23,3,416,11,61,2,16,7,31,23,89,34,111.2,90.8,5.7,3.7,33,2,11,0,575,166,535,107,107,274,27,43,65.8,20.5,13.7
2026_M028,28,Group A,2026-06-18,19:00,Guadalajara Stadium,Mexico,Korea Republic,1,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M028_PMSR-M28-MEX-V-KOR.pdf,0.34,0.87,83,86,76,75,4,9,56,84,5,8,18,16,46,48,69,62,116.5,112.1,5.3,5.3,8,9,4,2,432,593,360,510,265,217,39,37,40.8,51.8,7.3
2026_M029,29,Group C,2026-06-19,20:30,Philadelphia Stadium,Brazil,Haiti,3,0,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M29-BRA-V-HAI.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M029_PMSR-M29-BRA-V-HAI.pdf,1.42,0.26,88,84,105,84,13,10,84,88,11,13,21,29,39,34,50,63,113.6,112.8,5.9,6.1,7,7,4,3,551,402,484,338,195,294,32,58,49.0,43.2,7.8
2026_M030,30,Group C,2026-06-19,18:00,Boston Stadium,Scotland,Morocco,0,1,FIFA World Cup 2026,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M030_PMSR-M30-SCO-V-MAR.pdf,0.74,0.8,88,91,87,83,5,8,77,99,13,13,26,32,39,40,49,61,117.8,115.4,5.9,6.4,6,12,0,2,460,676,403,612,304,260,36,56,39.1,54.8,6.1
